ISBN,タイトル,サブタイトル,巻,作者1
9784048936118,タタの魔法使い,,1,うーぱー
9784094530537,地球外少年少女,前編 地球外からの使者,1,カミツキレイニー
9784094530544,地球外少年少女,後編 はじまりの物語,2,カミツキレイニー
9784094515459,さびしがりやのロリフェラトゥ,,ONLY ONE,さがら総
9784040705484,デート・ア・ライブマテリアル,,1,ファンタジア文庫編集部
9784048701747,19-ナインティーン-,,ONLY ONE,メディアワークス文庫
9784840111058,ゼロの使い魔,,1,ヤマグチノボル
9784840111447,ゼロの使い魔,風のアルビオン,2,ヤマグチノボル
9784840111966,ゼロの使い魔,始祖の祈祷書,3,ヤマグチノボル
9784840112369,ゼロの使い魔,誓約の水精霊,4,ヤマグチノボル
9784840112901,ゼロの使い魔,トリスタニアの休日,5,ヤマグチノボル
9784840114493,ゼロの使い魔,贖罪の炎赤石,6,ヤマグチノボル
9784840115018,ゼロの使い魔,銀の降臨祭,7,ヤマグチノボル
9784840115421,ゼロの使い魔,望郷の小夜曲,8,ヤマグチノボル
9784840117074,ゼロの使い魔,双月の舞踏会,9,ヤマグチノボル
9784840117661,ゼロの使い魔,イーヴァルディの勇者,10,ヤマグチノボル
9784840118590,ゼロの使い魔,追憶の二重奏,11,ヤマグチノボル
9784840119009,ゼロの使い魔,妖精達の休日,12,ヤマグチノボル
9784840121101,ゼロの使い魔,聖国の世界扉,13,ヤマグチノボル
9784840123198,ゼロの使い魔,水都市の聖女,14,ヤマグチノボル
9784840124188,ゼロの使い魔,忘却の夢迷宮,15,ヤマグチノボル
9784840126649,ゼロの使い魔,ド・オルニエールの安穏,16,ヤマグチノボル
9784840128070,ゼロの使い魔,黎明の修道女,17,ヤマグチノボル
9784840131537,ゼロの使い魔,滅亡の精霊石,18,ヤマグチノボル
9784840134545,ゼロの使い魔,始祖の円鏡,19,ヤマグチノボル
9784840138215,ゼロの使い魔,古深淵の聖地,20,ヤマグチノボル
9784040681184,ゼロの使い魔,六千年の真実,21,ヤマグチノボル
9784040690841,ゼロの使い魔,ゼロの神話,22,ヤマグチノボル
9784840117265,タバサの冒険 ゼロの使い魔外伝,,1,ヤマグチノボル
9784840120586,タバサの冒険 ゼロの使い魔外伝,,2,ヤマグチノボル
9784840127271,タバサの冒険 ゼロの使い魔外伝,,3,ヤマグチノボル
9784840130530,烈風の騎士姫,,1,ヤマグチノボル
9784840132466,烈風の騎士姫,,2,ヤマグチノボル
9784040692333,ゼロの使い魔Memorial BOOK,,ONLY ONE,ヤマグチノボル
9784049164138,こちら、終末停滞委員会。,,4,逢縁奇演
9784062940344,小説の神様,,ONLY ONE,相沢沙呼
9784040705330,ゲーマーズ！,雨野景太と青春コンティニュー,1,葵せきな
9784040705347,ゲーマーズ！,天道花憐と不意打ちハッピーエンド,2,葵せきな
9784040707532,ゲーマーズ！,星ノ守千秋と初恋ニューゲーム,3,葵せきな
9784040707549,ゲーマーズ！,亜玖璃と無自覚クリティカル,4,葵せきな
9784040709697,ゲーマーズ！,ゲーマーズと全滅ゲームオーバー,5,葵せきな
9784040709703,ゲーマーズ！,ぼっちゲーマーと告白チェインコンボ,6,葵せきな
9784040709710,ゲーマーズ！,ゲーマーズと口づけデッドエンド,7,葵せきな
9784040723693,ゲーマーズ！,星ノ守心春と逆転バックアタック,8,葵せきな
9784040723709,ゲーマーズ！,雨野景太と青春スキルリセット,9,葵せきな
9784040723716,ゲーマーズ！,天道花憐と不意打ちアップデート,10,葵せきな
9784040729008,ゲーマーズ！,ゲーマーズと初恋マルチエンド,11,葵せきな
9784040729015,ゲーマーズ！,ゲーマーズと青春コンティニュー,12,葵せきな
9784040723723,ゲーマーズ！DLC,,1,葵せきな
9784040730257,ゲーマーズ！DLC,,2,葵せきな
9784040731421,ゲーマーズ！DLC,,3,葵せきな
9784907064433,ヴァイオレット・エヴァーガーデン,上巻,1,暁佳奈
9784907064440,ヴァイオレット・エヴァーガーデン,下巻,2,暁佳奈
9784907064815,ヴァイオレット・エヴァーガーデン,外伝,3,暁佳奈
9784910052045,ヴァイオレット・エヴァーガーデン,エバー・アフター,4,暁佳奈
9784049135848,春夏秋冬代行者,春の舞 上,1,暁佳奈
9784049137538,春夏秋冬代行者,春の舞 下,2,暁佳奈
9784049139440,春夏秋冬代行者,夏の舞 上,3,暁佳奈
9784049139433,春夏秋冬代行者,夏の舞 下,4,暁佳奈
9784049146868,春夏秋冬代行者,暁の射手,5,暁佳奈
9784049150766,春夏秋冬代行者,秋の舞 上,6,暁佳奈
9784049150780,春夏秋冬代行者,秋の舞 下,7,暁佳奈
9784049158618,春夏秋冬代行者,黄昏の射手,8,暁佳奈
9784048927055,ひきこもりの弟だった,,ONLY ONE,葦舟ナツ
9784048692403,思春期テレパス,,ONLY ONE,天沢夏月
9784048692403,思春期テレパス,,ONLY ONE,天沢夏月
9784048682909,蒼空時雨,,1,綾崎隼
9784048685849,初恋彗星,,2,綾崎隼
9784048685849,初恋彗星,,2,綾崎隼
9784048687744,永遠虹路,,3,綾崎隼
9784048700535,吐息雪色,,4,綾崎隼
9784048916127,陽炎太陽,,5,綾崎隼
9784048922609,風歌封想,,6,綾崎隼
9784049129113,旋律月下,,7,綾崎隼
9784048706834,ノーブルチルドレンの残酷,,1,綾崎隼
9784048706995,ノーブルチルドレンの告別,,2,綾崎隼
9784048863698,ノーブルチルドレンの断罪,,3,綾崎隼
9784048868075,ノーブルチルドレンの愛情,,4,綾崎隼
9784048660761,ノーブルチルドレンの追想,,5,綾崎隼
9784048863681,INNOCENT DESPERADO,,ONLY ONE,綾崎隼
9784048663762,赤と灰色のサクリファイス,It’s Going to Take Some Time,1,綾崎隼
9784048663779,青と無色のサクリファイス,Let Me Be The One,2,綾崎隼
9784048668576,未来線上のアリア,I’m always close to you,ONLY ONE,綾崎隼
9784062940054,君と時計と嘘の塔,第一幕,1,綾崎隼
9784062940160,君と時計と塔の雨,第二幕,2,綾崎隼
9784062940177,君と時計と雨の雛,第三幕,3,綾崎隼
9784062940184,君と時計と雛の嘘,第四幕,4,綾崎隼
9784048925983,命の後で咲いた花,,ONLY ONE,綾崎隼
9784048939270,レッドスワンの絶命 赤羽高校サッカー部,The REDSWAN Saga Episode.1,1,綾崎隼
9784048939287,レッドスワンの星冠 赤羽高校サッカー部,The REDSWAN Saga Episode.2,2,綾崎隼
9784048939294,レッドスワンの奏鳴 赤羽高校サッカー部,The REDSWAN Saga Episode.3,3,綾崎隼
9784048939317,レッドスワンの飛翔 赤羽高校サッカー部,The REDSWAN Saga Episode.4,4,綾崎隼
9784049128130,レッドスワンの混沌 赤羽高校サッカー部,The REDSWAN Saga Episode.5,5,綾崎隼
9784049128147,レッドスワンの死闘 赤羽高校サッカー部,The REDSWAN Saga Episode.6,6,綾崎隼
9784049138771,セレストブルーの誓約 市条高校サッカー部,,ONLY ONE,綾崎隼
9784065143032,世界で一番かわいそうな私たち,第一幕,1,綾崎隼
9784065149973,世界で一番かわいそうな私たち,第二幕,2,綾崎隼
9784065156025,世界で一番かわいそうな私たち,第三幕,3,綾崎隼
9784041095942,君を描けば嘘になる,,ONLY ONE,綾崎隼
9784048935661,青の誓約 市条高校サッカー部,,ONLY ONE,綾崎隼
9784048935661,青の誓約 市条高校サッカー部,,ONLY ONE,綾崎隼
9784046826398,カルネアデス,天使警察エルと気弱な悪魔,1,綾里けいし
9784040681177,異世界拷問姫,,1,綾里けいし
9784040686318,異世界拷問姫,,2,綾里けいし
9784040687742,異世界拷問姫,,3,綾里けいし
9784040692838,異世界拷問姫,,4,綾里けいし
9784040695075,異世界拷問姫,,5,綾里けいし
9784040698090,異世界拷問姫,,6,綾里けいし
9784040650951,異世界拷問姫,,7,綾里けいし
9784040694429,異世界拷問姫,,7.5,綾里けいし
9784040658537,異世界拷問姫,,8,綾里けいし
9784040645452,異世界拷問姫,,9,綾里けいし
9784041001417,Another,下,2,綾辻行人
9784041041277,AnotherエピソードS,,ONLY ONE,綾辻行人
9784049146684,アオハルデビル,,1,池田明季哉
9784049146691,アオハルデビル,,2,池田明季哉
9784086313292,HELLO WORLD if 勘解由小路三鈴は世界で最初の失恋をする,映画『HELLO WORLD』スピンオフノベライズ,ONLY ONE,伊瀬ネキセ
9784094511499,とある飛空士への恋歌,,2,犬村小六
9784094511772,とある飛空士への恋歌,,3,犬村小六
9784094512267,とある飛空士への恋歌,,4,犬村小六
9784094512854,とある飛空士への夜想曲,上,1,犬村小六
9784094512984,とある飛空士への夜想曲,下,2,犬村小六
9784094513646,とある飛空士への誓約,,1,犬村小六
9784094513967,とある飛空士への誓約,,2,犬村小六
9784094514285,とある飛空士への誓約,,3,犬村小六
9784094514599,とある飛空士への誓約,,4,犬村小六
9784094514735,とある飛空士への誓約,,5,犬村小六
9784094514735,とある飛空士への誓約,,5,犬村小六
9784094515060,とある飛空士への誓約,,6,犬村小六
9784094515312,とある飛空士への誓約,,7,犬村小六
9784094515824,とある飛空士への誓約,,9,犬村小六
9784094516340,やがて恋するヴィヴィ・レイン,,1,犬村小六
9784094516579,やがて恋するヴィヴィ・レイン,,2,犬村小六
9784101800813,女王のポーカー,,1,維羽裕介
9784048705875,僕の小規模な奇跡,,ONLY ONE,入間人間
9784048709699,昨日は彼女も恋してた,,1,入間人間
9784048709705,明日も彼女は恋をする,,2,入間人間
9784048863476,時間のおとしもの,,ONLY ONE,入間人間
9784049159813,安達としまむら,,12,入間人間
9784049153477,安達としまむら99.9,,ONLY ONE,入間人間
9784049153460,安達としまむらSS,,1,入間人間
9784049159820,安達としまむらSS,,2,入間人間
9784048919999,瞳のさがしもの,,ONLY ONE,入間人間
9784048662192,僕の小規模な自殺,,ONLY ONE,入間人間
9784048665087,エウロパの底から,,ONLY ONE,入間人間
9784048927574,少女妄想中。,,ONLY ONE,入間人間
9784048927574,少女妄想中。,,ONLY ONE,入間人間
9784048936088,もうひとつの命,,ONLY ONE,入間人間
9784049141382,私の初恋相手がキスしてた,,1,入間人間
9784041096017,泣きたい私は猫をかぶる,,ONLY ONE,岩佐まもる
9784048926706,キラプリおじさんと幼女先輩,,1,岩沢藍
9784048932738,キラプリおじさんと幼女先輩,,2,岩沢藍
9784048935227,キラプリおじさんと幼女先輩,,3,岩沢藍
9784048863407,ソラの星,,1,岩関昂道
9784049126884,本を愛した彼女と、彼女の本の物語,,ONLY ONE,上野遊
9784048937863,ぼくたちの青春は覇権を取れない。 昇陽高校アニメーション研究部・活動録,,ONLY ONE,有象利路
9784840229111,蒼穹のファフナー,,ONLY ONE,冲方丁
9784150311728,楽園追放 rewired サイバーパンクSF傑作選,,ONLY ONE,虚淵玄/大森望
9784101800721,青の数学,,1,王城夕紀
9784101800820,青の数学,ユークリッド・エクスプローラー,2,王城夕紀
9784040706672,フルメタル・パニック！アナザー,SS,ONLY ONE,大黒尚人
9784797372809,ダンジョンに出会いを求めるのは間違っているだろうか,,1,大森藤ノ
9784797373073,ダンジョンに出会いを求めるのは間違っているだろうか,,2,大森藤ノ
9784797373622,ダンジョンに出会いを求めるのは間違っているだろうか,,3,大森藤ノ
9784797375145,ダンジョンに出会いを求めるのは間違っているだろうか,,4,大森藤ノ
9784797377149,ダンジョンに出会いを求めるのは間違っているだろうか,,5,大森藤ノ
9784797380583,ダンジョンに出会いを求めるのは間違っているだろうか,,6,大森藤ノ
9784797380590,ダンジョンに出会いを求めるのは間違っているだろうか,限定版,6,大森藤ノ
9784797383119,ダンジョンに出会いを求めるのは間違っているだろうか,,7,大森藤ノ
9784797383140,ダンジョンに出会いを求めるのは間違っているだろうか,,8,大森藤ノ
9784797385007,ダンジョンに出会いを求めるのは間違っているだろうか,,9,大森藤ノ
9784797386776,ダンジョンに出会いを求めるのは間違っているだろうか,,10,大森藤ノ
9784797388121,ダンジョンに出会いを求めるのは間違っているだろうか,,11,大森藤ノ
9784797392807,ダンジョンに出会いを求めるのは間違っているだろうか,,12,大森藤ノ
9784797393569,ダンジョンに出会いを求めるのは間違っているだろうか,,13,大森藤ノ
9784797396201,ダンジョンに出会いを求めるのは間違っているだろうか,,14,大森藤ノ
9784797396225,ダンジョンに出会いを求めるのは間違っているだろうか,,15,大森藤ノ
9784815609818,ダンジョンに出会いを求めるのは間違っているだろうか,,17,大森藤ノ
9784797375534,ダンジョンに出会いを求めるのは間違っているだろうか 外伝 ソード・オラトリア,,1,大森藤ノ
9784797377163,ダンジョンに出会いを求めるのは間違っているだろうか 外伝 ソード・オラトリア,,2,大森藤ノ
9784797382037,ダンジョンに出会いを求めるのは間違っているだろうか 外伝 ソード・オラトリア,,3,大森藤ノ
9784797383126,ダンジョンに出会いを求めるのは間違っているだろうか 外伝 ソード・オラトリア,,4,大森藤ノ
9784797383126,ダンジョンに出会いを求めるのは間違っているだろうか 外伝 ソード・オラトリア,,4,大森藤ノ
9784797385083,ダンジョンに出会いを求めるのは間違っているだろうか 外伝 ソード・オラトリア,,5,大森藤ノ
9784797388466,ダンジョンに出会いを求めるのは間違っているだろうか 外伝 ソード・オラトリア,,6,大森藤ノ
9784797389357,ダンジョンに出会いを求めるのは間違っているだろうか 外伝 ソード・オラトリア,限定版,7,大森藤ノ
9784797392340,ダンジョンに出会いを求めるのは間違っているだろうか 外伝 ソード・オラトリア,,8,大森藤ノ
9784797392814,ダンジョンに出会いを求めるのは間違っているだろうか 外伝 ソード・オラトリア,,9,大森藤ノ
9784815604646,ダンジョンに出会いを求めるのは間違っているだろうか ファミリアクロニクル,episodeフレイヤ,2,大森藤ノ
9784815619688,アルゴノゥト ダンジョンに出会いを求めるのは間違っているだろうか英雄譚,前章 道化行進,1,大森藤ノ
9784840139571,あの日見た花の名前を僕達はまだ知らない。,上,1,岡田麿里
9784840146890,あの日見た花の名前を僕達はまだ知らない。,下,2,岡田麿里
9784048653886,君の色に耳をすまして,,ONLY ONE,小川晴央
9784048924269,やり残した、さよならの宿題,,ONLY ONE,小川晴央
9784150312343,君を愛したひとりの僕へ,,ONLY ONE,乙野四方字
9784150312336,僕が愛したすべての君へ,,ONLY ONE,乙野四方字
9784150315252,僕が君の名前を呼ぶから,,ONLY ONE,乙野四方字
9784840132459,機巧少女は傷つかない,Facing“Sword Angel”,2,海冬レイジ
9784840138543,機巧少女は傷つかない,Facing“King’s Singer”,5,海冬レイジ
9784840139731,機巧少女は傷つかない,Facing“Crimson Red”,6,海冬レイジ
9784840143363,機巧少女は傷つかない,Facing“Genuin Legends”,7,海冬レイジ
9784840145497,機巧少女は傷つかない,Facing“Lady Justice”,8,海冬レイジ
9784840148207,機巧少女は傷つかない,Facing“Star Gazer”,9,海冬レイジ
9784840149594,機巧少女は傷つかない,Facing“Target Gold”,10,海冬レイジ
9784840151832,機巧少女は傷つかない,Facing“Dolls Master”,11,海冬レイジ
9784840154154,機巧少女は傷つかない,Facing“Master’s Doll”,12,海冬レイジ
9784040663081,機巧少女は傷つかない,Facing“Elder Empress”,13,海冬レイジ
9784040669106,機巧少女は傷つかない,Facing“Violet Silver”,14,海冬レイジ
9784040674704,機巧少女は傷つかない,Facing“Machine doll 1”,15,海冬レイジ
9784040692869,機巧少女は傷つかない,Facing“Machine doll 2”,16上,海冬レイジ
9784040692876,機巧少女は傷つかない,Facing“Machine doll 2”,16下,海冬レイジ
9784048681971,ブギーポップ・ダークリー 化け猫とめまいのスキャット,,18,上遠野浩平
9784048671712,ヴァルプルギスの後悔,,Fire1.,上遠野浩平
9784048679381,ヴァルプルギスの後悔,,Fire2.,上遠野浩平
